episode,timestep,reward
76,2000,-38.5311
153,4000,-41.9519
230,6000,-37.6626
307,8000,-39.9268
384,10000,-33.2043
461,12000,-33.4309
538,14000,-33.2318
615,16000,-30.1726
692,18000,-34.0257
769,20000,-34.4125
846,22000,-27.446
923,24000,-27.8946
999,26000,-22.9049
1076,28000,-25.0487
1153,30000,-22.836
1230,32000,-20.098
1307,34000,-19.1348
1384,36000,-17.0166
1461,38000,-16.8002
1538,40000,-18.7692
1615,42000,-15.3343
1692,44000,-16.8559
1769,46000,-14.2237
1846,48000,-14.8024
1923,50000,-11.5142
1999,52000,-13.4767
2076,54000,-10.4689
2153,56000,-10.0807
2230,58000,-9.5513
2307,60000,-9.6012
2384,62000,-10.3543
2461,64000,-9.6336
2538,66000,-8.3071
2615,68000,-7.2808
2692,70000,-7.9048
2769,72000,-9.5588
2846,74000,-9.9811
2923,76000,-8.5177
2999,78000,-9.7908
3076,80000,-8.0488
3153,82000,-7.0005
3230,84000,-7.8219
3307,86000,-6.9622
3384,88000,-7.972
3461,90000,-8.887
3538,92000,-6.7971
3615,94000,-7.5157
3692,96000,-5.9934
3769,98000,-7.2138
3846,100000,-8.0049
3923,102000,-7.1157
3999,104000,-7.5503
4076,106000,-7.4584
4153,108000,-6.742
4230,110000,-8.2207
4307,112000,-7.0139
4384,114000,-6.5043
4461,116000,-7.6066
4538,118000,-7.9629
4615,120000,-7.7812
4692,122000,-7.5485
4769,124000,-6.5164
4846,126000,-7.9821
4923,128000,-6.9838
4999,130000,-6.7248
5076,132000,-6.4821
5153,134000,-7.8769
5230,136000,-6.4765
5307,138000,-7.7931
5384,140000,-6.7792
5461,142000,-8.2791
5538,144000,-5.9166
5615,146000,-7.0045
5692,148000,-6.3606
5769,150000,-6.1757
5846,152000,-6.9019
5923,154000,-6.5379
5999,156000,-7.3585
6076,158000,-8.0335
6153,160000,-8.2169
