episode,timestep,reward
76,2000,-37.4597
153,4000,-40.9679
230,6000,-39.4783
307,8000,-31.5544
384,10000,-31.461
461,12000,-31.0006
538,14000,-23.6711
615,16000,-23.3213
692,18000,-21.782
769,20000,-19.3361
846,22000,-16.0789
923,24000,-18.0409
999,26000,-15.2002
1076,28000,-11.8386
1153,30000,-11.8117
1230,32000,-10.9513
1307,34000,-10.2604
1384,36000,-10.5338
1461,38000,-8.0426
1538,40000,-8.0395
1615,42000,-8.1302
1692,44000,-9.2962
1769,46000,-6.9506
1846,48000,-7.5319
1923,50000,-8.1911
1999,52000,-7.0726
2076,54000,-7.9501
2153,56000,-8.1292
2230,58000,-6.3563
2307,60000,-7.1571
2384,62000,-6.9002
2461,64000,-7.0334
2538,66000,-9.5174
2615,68000,-6.8396
2692,70000,-7.9758
2769,72000,-7.3491
2846,74000,-6.0916
2923,76000,-7.4137
2999,78000,-7.4858
3076,80000,-9.2119
3153,82000,-8.1272
3230,84000,-5.7727
3307,86000,-7.6719
3384,88000,-9.4578
3461,90000,-8.9233
3538,92000,-7.5326
3615,94000,-6.5929
3692,96000,-6.2855
3769,98000,-6.8892
3846,100000,-8.2295
3923,102000,-7.4911
3999,104000,-7.9466
4076,106000,-8.1077
4153,108000,-8.8888
4230,110000,-8.26
4307,112000,-7.6549
4384,114000,-6.6332
4461,116000,-9.3337
4538,118000,-8.3521
4615,120000,-9.2454
4692,122000,-7.3395
4769,124000,-7.7308
4846,126000,-6.0404
4923,128000,-7.1642
4999,130000,-6.7526
5076,132000,-9.0382
5153,134000,-8.5912
5230,136000,-6.8762
5307,138000,-7.1567
5384,140000,-6.9366
5461,142000,-8.5591
5538,144000,-6.6094
5615,146000,-7.5771
5692,148000,-8.2286
5769,150000,-7.054
5846,152000,-7.942
5923,154000,-6.2615
5999,156000,-7.2284
6076,158000,-9.797
6153,160000,-7.5522
6230,162000,-7.7163
6307,164000,-7.322
6384,166000,-6.1801
6461,168000,-7.0829
6538,170000,-8.7382
6615,172000,-7.6945
6692,174000,-7.8476
