episode,timestep,reward
20692,538000,-6.8955
20769,540000,-6.9901
20846,542000,-7.7064
20923,544000,-6.3351
20999,546000,-7.4717
21076,548000,-7.2918
21153,550000,-6.6896
21230,552000,-7.1535
21307,554000,-6.7508
21384,556000,-6.6651
21461,558000,-7.3283
21538,560000,-5.5829
21615,562000,-7.9461
21692,564000,-6.7602
21769,566000,-7.0952
21846,568000,-5.417
21923,570000,-6.0824
21999,572000,-6.4178
22076,574000,-6.7566
22153,576000,-7.1894
22230,578000,-6.2264
22307,580000,-5.9162
22384,582000,-6.8718
22461,584000,-6.1396
22538,586000,-6.5402
22615,588000,-6.1506
22692,590000,-6.3156
22769,592000,-7.3241
22846,594000,-5.0971
22923,596000,-6.5065
22999,598000,-6.0982
23076,600000,-5.932
23153,602000,-6.9918
23230,604000,-7.3115
23307,606000,-5.937
23384,608000,-7.103
23461,610000,-6.0191
23538,612000,-6.6219
23615,614000,-7.0832
23692,616000,-6.9563
23769,618000,-6.031
23846,620000,-7.4473
23923,622000,-5.7467
23999,624000,-6.1078
24076,626000,-7.1737
24153,628000,-5.4969
24230,630000,-6.747
24307,632000,-6.7229
24384,634000,-5.5739
24461,636000,-6.7069
24538,638000,-7.3848
24615,640000,-5.8921
24692,642000,-6.1762
24769,644000,-6.9862
24846,646000,-6.8524
24923,648000,-7.1904
24999,650000,-6.3486
