episode,timestep,reward
76,2000,-32.9062
153,4000,-31.6747
230,6000,-34.5208
307,8000,-31.2012
384,10000,-23.4618
461,12000,-32.9814
538,14000,-23.6099
615,16000,-24.3307
692,18000,-19.6309
769,20000,-23.8184
846,22000,-19.1409
923,24000,-20.0614
999,26000,-16.8452
1076,28000,-18.678
1153,30000,-16.8488
1230,32000,-17.1098
1307,34000,-16.3125
1384,36000,-11.6993
1461,38000,-12.5986
1538,40000,-12.33
1615,42000,-11.4146
1692,44000,-10.6952
1769,46000,-10.7866
1846,48000,-10.9674
1923,50000,-8.1042
1999,52000,-9.2286
2076,54000,-8.7972
2153,56000,-9.3924
2230,58000,-8.1232
2307,60000,-7.0896
2384,62000,-7.4833
2461,64000,-8.0665
2538,66000,-7.9273
2615,68000,-6.8711
2692,70000,-7.1249
2769,72000,-6.3296
2846,74000,-7.4199
2923,76000,-7.4295
2999,78000,-7.4025
3076,80000,-5.5874
3153,82000,-7.2752
3230,84000,-7.1772
3307,86000,-7.3393
3384,88000,-7.746
3461,90000,-6.6945
3538,92000,-7.3625
3615,94000,-6.4436
3692,96000,-7.2947
3769,98000,-7.8009
3846,100000,-8.5958
3923,102000,-6.0359
