episode,timestep,reward
76,2000,-43.3896
153,4000,-40.3188
230,6000,-34.6392
307,8000,-34.5849
384,10000,-29.6042
461,12000,-32.57
538,14000,-28.4964
615,16000,-24.7603
692,18000,-20.0806
769,20000,-24.2873
846,22000,-15.5212
923,24000,-15.5415
999,26000,-14.8698
1076,28000,-13.7081
1153,30000,-10.7925
1230,32000,-15.6051
1307,34000,-8.1267
1384,36000,-8.2555
1461,38000,-10.2886
1538,40000,-10.4068
1615,42000,-8.6318
1692,44000,-9.41
1769,46000,-9.6336
1846,48000,-9.7474
1923,50000,-9.0924
1999,52000,-9.8573
2076,54000,-9.4913
2153,56000,-8.5098
2230,58000,-7.7733
2307,60000,-7.1991
2384,62000,-7.5413
2461,64000,-8.5646
2538,66000,-7.1989
